"Banyaknya Desa/Kelurahan Menurut Jenis Tempat Pembuangan Sampah Sebagian Besar Keluarga Dan Ketersediaan Tempat Pembuangan Sampah Sementara, 2021",,,,,,,
"Number Of Villages/Kelurahan By Type Of Garbage Disposal Unit And Availability Of Temporary Garbage Disposal Unit, 2021",,,,,,,
,,,,,,,
"Kabupaten/ Kota
Regency/ Municipality",Jenis Tempat Pembuangan Sampah,,,,,,"Ketersediaan Tempat Pembuangan Sampah Sementara 
The Availability of Temporary Garbage Disposal Unit"
,Type of Garbage Disposal Unit,,,,,,
,Tempat Sampah Kemudian Diangkut,Dalam Lubang/                      Dibakar,"Sungai/ Saluran Irigasi/
Danau/Laut",Drainase,Lainnya,Jumlah,
,"Garbage Pail and 
Carried Away",Throw Away to the Pool/Burned,"River/
Irrigation Channel/
Lake/Sea",Drainage,Others,Total,
(1),(2),(3),(4),(5),(6),(7),(8)
Cilacap,     32 ,     248 ,     4 , -   , -   ,     284 ,     29 
Banyumas,     102 ,     228 ,     1 , -   , -   ,     331 ,     109 
Purbalingga,     40 ,     199 , -   , -   , -   ,     239 ,     45 
Banjarnegara,     42 ,     177 ,     22 ,     1 ,     36 ,     278 ,     57 
Kebumen,     28 ,     426 ,     6 , -   , -   ,     460 ,     73 
Purworejo,     12 ,     463 ,     1 , -   ,     18 ,     494 ,     27 
Wonosobo,     120 ,     125 ,     14 , -   ,     6 ,     265 ,     110 
Magelang,     81 ,     269 ,     13 ,     3 ,     6 ,     372 ,     81 
Boyolali,     23 ,     238 ,     5 , -   ,     1 ,     267 ,     47 
Klaten,     95 ,     303 ,     2 , -   ,     1 ,     401 ,     161 
Sukoharjo,     66 ,     101 , -   , -   , -   ,     167 ,     51 
Wonogiri,     10 ,     284 , -   , -   , -   ,     294 ,     48 
Karanganyar,     48 ,     129 , -   , -   , -   ,     177 ,     52 
Sragen,     14 ,     194 , -   , -   , -   ,     208 ,     33 
Grobogan,     10 ,     270 , -   , -   , -   ,     280 ,     39 
Blora,     13 ,     279 ,     3 , -   , -   ,     295 ,     28 
Rembang,     48 ,     243 ,     3 , -   , -   ,     294 ,     79 
Pati,     68 ,     338 , -   , -   , -   ,     406 ,     64 
Kudus,     98 ,     33 ,     1 , -   , -   ,     132 ,     63 
Jepara,     47 ,     148 , -   , -   , -   ,     195 ,     61 
Demak,     91 ,     158 , -   , -   , -   ,     249 ,     90 
Semarang,     78 ,     157 , -   , -   , -   ,     235 ,     100 
Temanggung,     139 ,     120 ,     15 ,     1 ,     14 ,     289 ,     132 
Kendal,     115 ,     167 ,     4 , -   , -   ,     286 ,     69 
Batang,     48 ,     198 , -   , -   ,     2 ,     248 ,     66 
Pekalongan,     69 ,     194 ,     14 , -   ,     8 ,     285 ,     68 
Pemalang,     84 ,     129 ,     8 , -   ,     1 ,     222 ,     85 
Tegal,     166 ,     115 ,     6 , -   , -   ,     287 ,     138 
Brebes,     134 ,     135 ,     27 , -   ,     1 ,     297 ,     105 
Kota Magelang,     17 , -   , -   , -   , -   ,     17 ,     13 
Kota Surakarta,     54 , -   , -   , -   , -   ,     54 ,     10 
Kota Salatiga,     22 ,     1 , -   , -   , -   ,     23 ,     22 
Kota Semarang,     176 ,     1 , -   , -   , -   ,     177 ,     142 
Kota Pekalongan,     27 , -   , -   , -   , -   ,     27 ,     21 
Kota Tegal,     27 , -   , -   , -   , -   ,     27 ,     19 
JAWA TENGAH,    2 244 ,    6 070 ,     149 ,     5 ,     94 ,    8 562 ,    2 337 
Sumber/ Source : Potensi Desa/ Village Potential Statistics,,,,,,,